name;fullName;intCode;symbol2;symbol3
Полша;Полша;616;PL;POL
Португалия;Португалия;620;PT;PRT
Пуэрто-Рико;Пуэрто-Рико;630;PR;PRI
Қатар;Қатар;634;QA;QAT
Реюнон;Реюнон;638;RE;REU
Руминия;Руминия;642;RO;ROU
Россия;Россия;643;RU;RUS
Руанда;Руанда;646;RW;RWA
Сен-Бартелеми;Сен-Бартелеми;652;BL;BLM
Ҷазираҳои Еленаи Муқаддас;Остров Святой Елены;654;SH;SHN
Сент-Китс ва Невис;Сент-Китс ва Невис;659;KN;KNA
Сент-Люсия;Сент-Люсия;662;LC;LCA
Сен-Мартен;Сен-Мартен;663;MF;MAF
Сен-Пер ва Микелон;Сен-Пер ва Микелон;666;PM;SPM
Сент-Винсент ва Гренадини;Сент-Винсент ва Гренадини;670;VC;VCT
Самоа;Самоа;882;WS;WSM
Сан-Марино;Сан-Марино;674;SM;SMR
Сан-Томе ва Принсипи;Сан-Томе ва Принсипи;678;ST;STP
Арабистони Саудӣ;Арабистони Саудӣ;682;SA;SAU
Сенегал;Сенегал;686;SN;SEN
Сербия;Сербия;688;RS;SRB
Сейшел;Сейшел;690;SC;SYC
Сера-Леоне;Сера-Леоне;694;SL;SLE
Сингапур;Сингапур;702;SG;SGP
Словакия;Словакия;703;SK;SVK
Словения;Словения;705;SI;SVN
Ҷазираҳои Соломон;Ҷазираҳои Соломон;90;SB;SLB
Сомали;Сомали;706;SO;SOM
Африқои ҷанубӣ;Африқои ҷанубӣ;710;ZA;ZAF
Ҷорҷи Ҷанубӣ ва Ҷазираҳои Сандвичи Ҷанубӣ;Ҷорҷи Ҷанубӣ ва Ҷазираҳои Сандвичи Ҷанубӣ;239;GS;SGS
Испания;Испания;724;ES;ESP
Судони Ҷанубӣ;Судони Ҷанубӣ;728;SS;SSD
Шри-Ланка;Шри-Ланка;144;LK;LKA
Судон;Судон;729;SD;SDN
Суринам;Суринам;740;SR;SUR
Ян-Майен;Ян-Майен;744;SJ;SJM
Свазиленд;Свазиленд;748;SZ;SWZ
Шветсия;Шветсия;752;SE;SWE
Швейтсария;Швейтсария;756;CH;CHE
Сурия;Сурия;760;SY;SYR
Тайван;Тайван;158;TW;TWN
Тоҷикистон;Тоҷикистон;762;TJ;TJK
Танзания;Танзания;834;TZ;TZA
Тайланд;Тайланд;764;TH;THA
Тимори Шарқӣ;Тимори Шарқӣ;626;TL;TLS
Того;Того;768;TG;TGO
Токелау;Токелау;772;TK;TKL
Тонго;Тонго;776;TO;TON
Тринидад ва Тобаго;Тринидад и Тобаго;780;TT;TTO
Тунис;Тунис;788;TN;TUN
Туркия;Туркия;792;TR;TUR
Туркманистон;Туркманистон;795;TM;TKM
Тёркс ва Кайкос;Тёркс ва Кайкос;796;TC;TCA
Тувалу;Тувалу;798;TV;TUV
Уганда;Уганда;800;UG;UGA
Украина;Украина;804;UA;UKR
Аморати Муттаҳидаи Араб;Аморати Муттаҳидаи Араб;784;AE;ARE
Британияи Кабир;Британияи Кабир;826;GB;GBR
Гернси;Гернси;831;GG;GGY
Ҷерсӣ;Ҷерсӣ;832;JE;JEY
Ҷазираи Мэн;Ҷазираи Мэн;833;IM;IMN
Иёлоти Муттаҳидаи Амрико;Иёлоти Муттаҳидаи Амрико;840;US;USA
Ҷазираҳои хурди дур;Мелкие отдалённые острова;581;UM;UMI
Уругвай;Уругвай;858;UY;URY
Ӯзбекистон;Ӯзбекистон;860;UZ;UZB
Вануату;Вануату;548;VU;VUT
Венесуэла;Венесуэла;862;VE;VEN
Ветнам;Ветнам;704;VN;VNM
Ҷазираҳои Вирҷинияи Бритониё;Ҷазираҳои Вирҷинияи Бритониё;92;VG;VGB
Ҷазираҳои Вирҷинияи ИМА;Ҷазираҳои Вирҷинияи ИМА;850;VI;VIR
Ҷазираҳои Уоллис ва Футуна;Ҷазираҳои Уоллис ва Футуна;876;WF;WLF
Сахараи Ғарбӣ;Сахараи Ғарбӣ;732;EH;ESH
Яман;Яман;887;YE;YEM
Замбия;Замбия;894;ZM;ZMB
Зимбабве;Зимбабве;716;ZW;ZWE
